name,mw,carbon_fraction,gamma,C,N,P,S,K,Mg,Ca,Fe,Zn,Mn,Cu,Mo,Co,Ni,B,H,O,Na,Cl
"EDTA disodium salt dihydrate, C10H14N2Na2O8.2H2O",372.238,0.32267,34,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,2,0
"Tricine, C6H13NO5",179.172,0.402217,24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0
"Citric acid anhydrous, C6H8O7",192.123,0.375103,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0
"Trisodium citrate dihydrate, C6H5Na3O7.2H2O",294.099,0.24504,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,0
"Glucose anhydrous, C6H12O6",180.156,0.40002,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0
"Glucose monohydrate, C6H12O6.H2O",198.171,0.363656,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0
"Glycerol, C3H8O3",92.094,0.391263,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0
"Methanol, CH4O",32.042,0.374852,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
"Ethanol, C2H6O",46.069,0.521435,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
"Sucrose, C12H22O11",342.297,0.421073,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0
"Lactose monohydrate, C12H22O11.H2O",360.312,0.40002,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0
"Xylose, C5H10O5",150.13,0.40002,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0
"Sorbitol, C6H14O6",182.172,0.395593,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0
"Acetic acid, C2H4O2",60.052,0.40002,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
"Sodium acetate anhydrous, C2H3NaO2",82.034,0.29283,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
"Sodium acetate trihydrate, C2H3NaO2.3H2O",136.079,0.17653,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,0
"Phosphoric acid, H3PO4",97.994,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
"Sulfuric acid, H2SO4",98.072,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
"Hydrochloric acid, HCl",36.458,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Sodium hydroxide, NaOH",39.997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Potassium hydroxide, KOH",56.105,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Ammonium hydroxide, NH4OH (NH3.H2O)",35.046,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
"Ammonia, NH3",17.031,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Lactic acid, C3H6O3",90.078,0.40002,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0
"Polyhydroxybutyrate PHB (monomer unit), C4H6O2",86.09,0.558067,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
"Succinic acid, C4H6O4",118.088,0.406849,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
"Itaconic acid, C5H6O4",130.099,0.46161,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
"Mono-rhamnolipid Rha-C10-C10, C26H48O9",504.661,0.618804,134,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,0,0
"Di-rhamnolipid Rha2-C10-C10, C32H58O13",650.803,0.590581,160,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,13,0,0
"Penicillin G, C16H18N2O4S",334.39,0.574706,74,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0
"Poly(3-hydroxybutyrate-co-3-hydroxyvalerate) PHBV (monomer unit), C4H8O2",86.79,0.560486,18.3,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,2,0,0
"3-Hydroxybutyric acid, C4H8O3",104.105,0.461496,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0
